Country_Name,Country_Code,2008,2009,2010,2011
"Gambia, The",GMB,965781078.2,900639534.0,951806368.7,898290989.9
Guinea-Bissau,GNB,864654795.3,826798659.8,849050127.5,1098379392.0
Equatorial Guinea,GNQ,19749893536.0,15027795173.0,16298542028.0,21329395901.0
Greece,GRC,354461000000.0,330000000000.0,299362000000.0,287798000000.0
Grenada,GRD,825976037.0,771275555.6,771013259.3,778655925.9
Greenland,GRL,2499107511.0,2529948330.0,2503156061.0,2684467376.0
Guatemala,GTM,39136954232.0,37734072278.0,41338521638.0,47654783852.0
Guam,GUM,4621000000.0,4781000000.0,4895000000.0,4928000000.0
Guyana,GUY,1916994912.0,2061323854.0,2273225042.0,2576024116.0
High income,HIC,46144100000000.0,43284400000000.0,45352000000000.0,48938300000000.0
"Hong Kong SAR, China",HKG,219280000000.0,214046000000.0,228638000000.0,248514000000.0
Honduras,HND,13789727210.0,14486137414.0,15729644901.0,17588097150.0
Heavily indebted poor countries (HIPC),HPC,426498000000.0,428920000000.0,474041000000.0,529822000000.0
Croatia,HRV,70494603466.0,62779128128.0,59865977192.0,62399478246.0
Haiti,HTI,6548530572.0,6584649419.0,6622541529.0,7516834160.0
Hungary,HUN,157998000000.0,130594000000.0,130923000000.0,140782000000.0
IBRD only,IBD,16963500000000.0,16461200000000.0,19990800000000.0,23617100000000.0
IDA & IBRD total,IBT,18258300000000.0,17726900000000.0,21452200000000.0,25284300000000.0
IDA total,IDA,1300410000000.0,1271510000000.0,1465180000000.0,1668940000000.0
IDA blend,IDB,651561000000.0,608660000000.0,710857000000.0,821176000000.0
Indonesia,IDN,510229000000.0,539580000000.0,755094000000.0,892969000000.0
IDA only,IDX,642111000000.0,658774000000.0,748786000000.0,840446000000.0
Isle of Man,IMN,5928601103.0,5487083658.0,5920177689.0,6566098382.0
India,IND,1198900000000.0,1341890000000.0,1675620000000.0,1823050000000.0
Ireland,IRL,275039000000.0,236316000000.0,222149000000.0,237472000000.0
"Iran, Islamic Rep.",IRN,406071000000.0,414059000000.0,487070000000.0,583500000000.0
Iraq,IRQ,131614000000.0,111661000000.0,138517000000.0,185750000000.0
Iceland,ISL,17905251832.0,13164652894.0,13683689802.0,15158548597.0
Israel,ISR,215961000000.0,207452000000.0,233733000000.0,261717000000.0
Italy,ITA,2390730000000.0,2185160000000.0,2125060000000.0,2276290000000.0
Jamaica,JAM,13680482787.0,12067478478.0,13200286270.0,14413359665.0
Jordan,JOR,22218617772.0,23974612130.0,26551480959.0,28932299013.0
Japan,JPN,5037910000000.0,5231380000000.0,5700100000000.0,6157460000000.0
Kazakhstan,KAZ,133442000000.0,115309000000.0,148047000000.0,192627000000.0
Kenya,KEN,35895153328.0,37021512049.0,40000088347.0,41953433591.0
Kyrgyz Republic,KGZ,5139957785.0,4690062255.0,4794357795.0,6197766119.0
Cambodia,KHM,10351914093.0,10401851851.0,11242275199.0,12829541141.0
Kiribati,KIR,141042610.3,132420059.3,156120895.2,181705002.6
St. Kitts and Nevis,KNA,793368441.0,767066391.8,766785071.2,818728133.0
"Korea, Rep.",KOR,1002220000000.0,901935000000.0,1094500000000.0,1202460000000.0
Kuwait,KWT,147396000000.0,105900000000.0,115419000000.0,154028000000.0
Latin America & Caribbean (excluding high income),LAC,4198030000000.0,3933630000000.0,4904610000000.0,5584690000000.0
Lao PDR,LAO,5443915121.0,5832915387.0,7127792630.0,8749241114.0
Lebanon,LBN,29227542760.0,35477299024.0,38419626534.0,40075674295.0
Liberia,LBR,1726000000.0,1768000000.0,1998000000.0,2398000000.0
